Id,ACC_Graduated_Status__c,SoldDate__c,AOV_Band__c
0013000001CCXhtAAH,,1/15/14,$10k-50k
0013000000NQZckAAH,,1/29/14,$10k-50k
0013000001EYUMsAAP,Failed,12/14/13,$10k-50k
0013000000ZimW2AAJ,,1/31/14,$10k-50k
0013000000Zj3DQAAZ,Failed,11/14/13,$50k-100k
0013000000ZmibOAAR,Failed,12/17/13,$10k-50k
0013000000hKFaIAAW,,10/15/13,$50k-100k
0013000000ZkEkBAAV,Failed,12/15/13,$10k-50k
0013000001EZCm7AAH,,2/2/14,$10k-50k
0013000000Ra8uQAAR,,2/14/14,$10k-50k
00130000016jQY7AAM,Failed,11/15/13,$10k-50k
0013000000hKShzAAG,Failed,10/15/13,$10k-50k
0013000000ZkfZBAAZ,Failed,9/30/13,$10k-50k
0013000000ZkgP2AAJ,Failed,10/31/13,$10k-50k
0013000000rq07KAAQ,,1/15/14,$10k-50k
0013000001CCXeQAAX,Failed,11/2/13,$10k-50k
0013000000Ra9QMAAZ,,1/14/14,$10k-50k
0013000001CBd52AAD,,1/16/14,$10k-50k
0013000000RYuqbAAD,,2/13/14,$10k-50k
0013000001CBtcwAAD,Failed,11/29/13,$10k-50k
0013000000hMNHkAAO,,2/14/14,$50k-100k
0013000000hKNE1AAO,Failed,10/22/13,$10k-50k
0013000000ZkFHQAA3,Failed,9/30/13,$50k-100k
0013000001CCZBBAA5,Failed,12/14/13,$10k-50k
0013000001CCdylAAD,Failed,10/2/13,$10k-50k
0013000001CCaRSAA1,Failed,10/31/13,$10k-50k
0013000001CCbSgAAL,Failed,10/2/13,$10k-50k
0013000001CCeQ6AAL,Failed,11/3/13,$10k-50k
0013000001CCevTAAT,Failed,10/15/13,$10k-50k
0013000001CCejIAAT,,11/14/13,$50k-100k
0013000001CCeUSAA1,Failed,10/30/13,$10k-50k
0013000001CCbLGAA1,,1/31/14,$10k-50k
0013000001CCfxLAAT,Failed,12/14/13,$10k-50k
0013000001CCaGUAA1,Failed,11/14/13,$10k-50k
0013000001CCZT3AAP,Failed,10/15/13,$10k-50k
0013000001CCavrAAD,Failed,10/2/13,$10k-50k
0013000001CCZ6zAAH,Failed,11/3/13,$10k-50k
0013000001CCYTsAAP,Failed,11/6/13,$10k-50k
0013000000hMWgbAAG,Failed,10/8/13,$10k-50k
0013000000hMX6kAAG,Failed,11/14/13,$10k-50k
0013000000RaPATAA3,Failed,11/14/13,$50k-100k
0013000000hJgCiAAK,,1/31/14,$10k-50k
0013000000hJgfBAAS,Failed,11/18/13,$50k-100k
0013000000hLzBpAAK,,2/15/14,$10k-50k
0013000000ZkGOOAA3,,2/15/14,$10k-50k
0013000001EYLBlAAP,Failed,11/29/13,$10k-50k
0013000000rqDRkAAM,,2/4/14,$10k-50k
0013000000rq9nxAAA,,2/14/14,$10k-50k
0013000001CCi1wAAD,Failed,10/15/13,$10k-50k
0013000001CCj4DAAT,Failed,10/2/13,$10k-50k
0013000001CCne5AAD,,2/14/14,$10k-50k
0013000001CCntUAAT,Failed,12/14/13,$10k-50k
0013000001CCqjwAAD,Failed,10/14/13,$10k-50k
0013000001CCrIrAAL,,2/15/14,$10k-50k
0013000001CCqLzAAL,Failed,10/1/13,$10k-50k
0013000001CClcWAAT,,1/8/14,$50k-100k
0013000001CCrSIAA1,Failed,11/15/13,$10k-50k
0013000001CCqkfAAD,Failed,9/30/13,$10k-50k
0013000001CCrTQAA1,,1/28/14,$10k-50k
0013000001CCpiOAAT,Failed,10/1/13,$10k-50k
0013000001CChniAAD,Failed,10/3/13,$10k-50k
0013000001CCrNwAAL,,1/2/14,$10k-50k
0013000001CCy5tAAD,,1/20/14,$10k-50k
0013000001CCpSBAA1,Failed,11/14/13,$10k-50k
0013000001CCqP3AAL,,12/26/13,$10k-50k
0013000001CChn9AAD,,1/31/14,$10k-50k
0013000001CCqafAAD,Failed,11/14/13,$10k-50k
0013000001CCjA6AAL,Failed,10/31/13,$10k-50k
0013000001CCrW0AAL,,1/15/14,$10k-50k
0013000001CCrNmAAL,Failed,10/30/13,$10k-50k
0013000001CClZ3AAL,,11/15/13,$100k-200k
0013000001CCiAeAAL,Failed,10/2/13,$100k-200k
0013000001Fg6lRAAR,,2/3/14,$10k-50k
0013000000hJfPpAAK,Failed,12/1/13,$10k-50k
0013000000ZkFzBAAV,Failed,11/15/13,$100k-200k
0013000000ZkvznAAB,Failed,12/9/13,$10k-50k
0013000000ZkG8KAAV,,2/14/14,$10k-50k
0013000000ZkGQHAA3,,2/15/14,$10k-50k
0013000001CCh94AAD,,2/15/14,$10k-50k
0013000001CARTYAA5,,2/10/14,$10k-50k
00130000016jMDeAAM,,2/15/14,$10k-50k
0013000000rq5kDAAQ,,11/24/13,$10k-50k
0013000000rq2cFAAQ,,1/14/14,$10k-50k
0013000000rpjxYAAQ,Failed,12/5/13,$10k-50k
0013000000rpl8vAAA,,1/16/14,$10k-50k
0013000000rpoyKAAQ,,1/27/14,$10k-50k
0013000000rpo9iAAA,Failed,10/15/13,$10k-50k
00130000016jRfoAAE,Failed,11/26/13,$50k-100k
0013000000rqxewAAA,,2/10/14,$10k-50k
0013000001CCxcwAAD,,10/15/13,$100k-200k
0013000001CCvfUAAT,,12/30/13,$50k-100k
0013000001CCwsPAAT,,1/30/14,$10k-50k
0013000001CCwm7AAD,,1/25/14,$10k-50k
0013000001CCtJhAAL,,12/31/13,$10k-50k
0013000001CCyA0AAL,Failed,12/9/13,$10k-50k
0013000001CCw0rAAD,Failed,10/15/13,$50k-100k
0013000001CCxWyAAL,,11/27/13,$10k-50k
0013000001CCuWvAAL,Failed,10/10/13,$10k-50k
0013000001CCxmcAAD,,1/20/14,$50k-100k
0013000001CCwuBAAT,,2/13/14,$10k-50k
0013000001CCtAzAAL,Failed,9/30/13,$10k-50k
0013000001CCxzgAAD,Failed,10/15/13,$10k-50k
0013000001CCyBXAA1,Failed,12/9/13,$10k-50k
0013000001CCy1wAAD,Failed,10/30/13,$10k-50k
0013000001CCvYdAAL,Failed,10/9/13,$10k-50k
0013000001CCyrTAAT,,12/31/13,$10k-50k
0013000001EYJ8wAAH,Failed,11/14/13,$100k-200k
0013000001CCymiAAD,,2/10/14,$10k-50k
0013000001EYHeIAAX,Failed,12/3/13,$10k-50k
0013000001EYI2ZAAX,,12/31/13,$10k-50k
0013000001EYIbYAAX,Failed,12/15/13,$10k-50k
0013000001EYIU8AAP,,2/13/14,$10k-50k
0013000001CCz1dAAD,Failed,11/14/13,$10k-50k
0013000001EYHCJAA5,Failed,10/21/13,$10k-50k
0013000001EYHE5AAP,Failed,12/12/13,$10k-50k
0013000001EYL0QAAX,Failed,11/15/13,$10k-50k
0013000001CD1bLAAT,Failed,10/21/13,$10k-50k
0013000001EYJQqAAP,Failed,11/11/13,$10k-50k
0013000001EYJohAAH,,12/20/13,$10k-50k
0013000001CD3QpAAL,Failed,12/15/13,$10k-50k
0013000001EZ5JIAA1,,12/9/13,$10k-50k
0013000001EYLkwAAH,Failed,11/11/13,$50k-100k
0013000001CD3QBAA1,Failed,11/15/13,$10k-50k
0013000001CD4ULAA1,,10/10/13,$100k-200k
0013000001CD3QGAA1,,1/23/14,$10k-50k
0013000001EYNMXAA5,,1/26/14,$10k-50k
0013000001CD5siAAD,,2/10/14,$50k-100k
0013000001CD7XNAA1,Failed,10/9/13,$10k-50k
0013000001EYPbsAAH,Failed,12/3/13,$10k-50k
0013000001CD6PwAAL,,10/14/13,$10k-50k
0013000001EYOvUAAX,,10/23/13,$100k-200k
0013000001EYPAPAA5,,1/15/14,$10k-50k
0013000001EYPBhAAP,Failed,10/31/13,$10k-50k
0013000001EYMP3AAP,,2/15/14,$10k-50k
0013000001CD5mpAAD,Failed,10/17/13,$50k-100k
0013000001CD5lcAAD,Failed,10/9/13,$10k-50k
0013000001CD7OLAA1,Failed,12/21/13,$50k-100k
0013000001EYPxHAAX,,1/10/14,$10k-50k
0013000001EYO9pAAH,,10/13/13,$10k-50k
0013000001EYO2yAAH,Failed,11/28/13,$10k-50k
0013000001EYOIXAA5,Failed,11/15/13,$10k-50k
0013000001EYOBWAA5,,11/26/13,$10k-50k
0013000001CD5XzAAL,Failed,10/30/13,$10k-50k
0013000001CD8pDAAT,Failed,10/19/13,$10k-50k
0013000001CD7ISAA1,Failed,10/30/13,$10k-50k
0013000001CD8vGAAT,Failed,10/31/13,$10k-50k
0013000001CD8oPAAT,Failed,10/23/13,$10k-50k
0013000001CD6omAAD,,1/21/14,$10k-50k
0013000000rpY1qAAE,,1/31/14,$10k-50k
0013000000rpbiKAAQ,Failed,10/15/13,$50k-100k
0013000001CDBxCAAX,,11/15/13,$10k-50k
0013000001CDBl5AAH,,2/7/14,$10k-50k
0013000001EYUDlAAP,,2/13/14,$10k-50k
0013000001EZBVfAAP,,2/13/14,$10k-50k
0013000001CD9sNAAT,Failed,12/1/13,$10k-50k
0013000001EYU79AAH,,1/30/14,$10k-50k
0013000001CDAFvAAP,Failed,11/2/13,$50k-100k
0013000001EYUEPAA5,,2/18/14,$10k-50k
0013000001CDBMUAA5,,1/24/14,$10k-50k
0013000001CDBwsAAH,Failed,11/15/13,$10k-50k
0013000001CDB96AAH,Failed,10/31/13,$10k-50k
0013000001EYTcLAAX,Failed,10/31/13,$10k-50k
0013000001EYVIRAA5,Failed,10/31/13,$10k-50k
0013000001EYVJyAAP,,2/15/14,$10k-50k
0013000001EYUwfAAH,,12/31/13,$50k-100k
0013000001CDC6xAAH,,1/13/14,$50k-100k
0013000001EYRk9AAH,Failed,11/14/13,$10k-50k
0013000001EYRAQAA5,Failed,11/13/13,$10k-50k
0013000001EZH26AAH,Failed,12/1/13,$10k-50k
0013000001EYRMbAAP,,2/16/14,$10k-50k
0013000001EYRxSAAX,Failed,10/18/13,$10k-50k
0013000001EYS9dAAH,,1/5/14,$10k-50k
0013000001EYRLEAA5,,1/9/14,$10k-50k
0013000001EYRNyAAP,,2/15/14,$50k-100k
0013000001EYRN0AAP,Failed,12/14/13,$10k-50k
0013000001EYSHcAAP,,12/31/13,$10k-50k
0013000001EYRMCAA5,,1/2/14,$10k-50k
0013000001EYQRBAA5,Failed,10/17/13,$10k-50k
0013000001CDAatAAH,,1/8/14,$10k-50k
0013000001EYVQkAAP,,1/28/14,$10k-50k
0013000001EYVQGAA5,Failed,11/15/13,$10k-50k
0013000001EZ8lDAAT,,2/15/14,$10k-50k
0013000001EZ8snAAD,Failed,12/15/13,$10k-50k
0013000001CDKzeAAH,,2/15/14,$10k-50k
0013000001CDKpeAAH,,2/13/14,$10k-50k
0013000001CDL24AAH,Failed,11/3/13,$10k-50k
0013000001CDLHiAAP,Failed,11/9/13,$10k-50k
0013000001CDksDAAT,Failed,11/15/13,$10k-50k
0013000001EZ9olAAD,Failed,10/31/13,$10k-50k
0013000001CDMOpAAP,Failed,10/31/13,$10k-50k
0013000001CDMUnAAP,,1/15/14,$10k-50k
0013000001CDMTfAAP,Failed,10/31/13,$10k-50k
0013000001EZBjrAAH,,2/15/14,$10k-50k
0013000001EZBzBAAX,,12/31/13,$10k-50k
0013000001EZBsoAAH,,2/15/14,$10k-50k
0013000001EZBkzAAH,Failed,12/14/13,$10k-50k
0013000001EZCJ6AAP,,2/14/14,$10k-50k
0013000001EZBqOAAX,Failed,12/12/13,$50k-100k
0013000001CDMoTAAX,,1/31/14,$10k-50k
0013000001CDN8sAAH,Failed,11/7/13,$10k-50k
0013000001CDMMtAAP,Failed,10/31/13,$10k-50k
0013000001EZBmgAAH,Failed,12/14/13,$10k-50k
0013000001EZ7XHAA1,Failed,11/2/13,$10k-50k
0013000001EZ7LCAA1,,2/13/14,$10k-50k
0013000001EZ7K3AAL,,1/8/14,$10k-50k
0013000001EZ7QfAAL,Failed,12/1/13,$10k-50k
0013000001EZ9W4AAL,,1/5/14,$10k-50k
0013000001EZ9Q6AAL,Failed,11/3/13,$10k-50k
0013000001CDOswAAH,,1/9/14,$50k-100k
0013000001CDMvtAAH,Failed,12/22/13,$10k-50k
0013000001CDOu4AAH,,1/14/14,$10k-50k
0013000001CDOudAAH,,1/23/14,$10k-50k
0013000001CDMDmAAP,Failed,10/31/13,$10k-50k
0013000001CDMklAAH,Failed,11/3/13,$10k-50k
0013000001CDNs2AAH,,2/15/14,$10k-50k
0013000001EZIs4AAH,,2/10/14,$10k-50k
0013000001EZIlrAAH,,1/12/14,$10k-50k
0013000001EZJ3MAAX,,2/13/14,$50k-100k
0013000001CDQbdAAH,,12/20/13,$10k-50k
0013000001CDjnVAAT,,2/14/14,$10k-50k
0013000001CDsHbAAL,,2/15/14,$10k-50k
0013000001CDsmPAAT,Failed,12/14/13,$10k-50k
0013000001EZFbpAAH,,1/14/14,$10k-50k
0013000001CDPT4AAP,Failed,12/6/13,$10k-50k
0013000001CDzJDAA1,,2/15/14,$10k-50k
0013000001EZI9EAAX,,2/5/14,$10k-50k
0013000001EZIddAAH,Failed,11/26/13,$10k-50k
0013000001EZIILAA5,,1/15/14,$10k-50k
0013000001EZISGAA5,,1/30/14,$10k-50k
0013000001EZIXQAA5,Failed,11/17/13,$10k-50k
0013000001EZIExAAP,,2/14/14,$10k-50k
0013000001EZIOEAA5,,11/26/13,$10k-50k
0013000001CDjrwAAD,,2/15/14,$50k-100k
0013000001EZNA4AAP,,2/14/14,$10k-50k
0013000001CDjqoAAD,Failed,11/13/13,$10k-50k
0013000001EZMzGAAX,,1/31/14,$10k-50k
0013000001EZN8DAAX,,1/31/14,$10k-50k
0013000001CDiocAAD,Failed,12/15/13,$10k-50k
0013000001EZL5HAAX,,2/2/14,$10k-50k
0013000001EZNFxAAP,,1/15/14,$10k-50k
0013000001EZNEVAA5,,1/14/14,$10k-50k
0013000001CDkYCAA1,Failed,11/17/13,$10k-50k
0013000001EZUFPAA5,,12/31/13,$10k-50k
0013000001CDrQXAA1,Failed,11/29/13,$10k-50k
0013000001CDrU5AAL,,1/27/14,$10k-50k
0013000001CDq8FAAT,Failed,11/23/13,$10k-50k
0013000001EZV4MAAX,,1/23/14,$10k-50k
0013000001EZMfVAAX,,1/15/14,$10k-50k
0013000001EZMXvAAP,,1/14/14,$10k-50k
0013000001EZMgnAAH,,1/1/14,$10k-50k
0013000001EZM40AAH,,1/16/14,$50k-100k
0013000001EZMV1AAP,,1/31/14,$10k-50k
0013000001EZLxJAAX,Failed,12/1/13,$50k-100k
0013000001CDs3tAAD,,1/16/14,$10k-50k
0013000001FioNSAAZ,,2/15/14,$10k-50k
0013000001CDriqAAD,,1/23/14,$50k-100k
0013000001CDkPeAAL,,1/21/14,$10k-50k
0013000001CDQN7AAP,,2/15/14,$50k-100k
0013000001CDsKzAAL,,1/29/14,$10k-50k
0013000001EZKE8AAP,,1/8/14,$10k-50k
0013000001EZKDeAAP,Failed,11/17/13,$10k-50k
0013000001EZK4HAAX,,1/30/14,$10k-50k
0013000001EZJo4AAH,,1/15/14,$10k-50k
0013000001EZEpWAAX,Failed,12/17/13,$10k-50k
0013000001EZD7ZAAX,,2/14/14,$50k-100k
0013000001EZEwDAAX,Failed,11/26/13,$10k-50k
0013000001EZFLNAA5,,2/13/14,$10k-50k
0013000001CDPktAAH,,2/2/14,$10k-50k
0013000001CDnvOAAT,,1/23/14,$10k-50k
